# Williamsburg Handmade Oil Colors (Golden Artist Colors)
#
# COUVERTURE : les 180 teintes de la gamme, au complet - series regulieres, safflower
# (prefixe SF), iridescentes et interference comprises.
#
# PROVENANCE : noms, references, pigments et opacite releves le 15/09/2026 dans les
# donnees de la fiche pigments du fabricant (goldenartistcolors.com/products/
# williamsburg-artist-oil-colors/oil-colors/pigment-data), qui publie pour chaque
# couleur la liste complete de ses index couleur. 170 teintes portent verified=true.
#
# LES 10 AUTRES : les iridescentes et les interference sont declarees "N/A" par le
# fabricant, faute d'index couleur. Elles reprennent le pseudo-code EFFEKT / ALU des
# gammes Schmincke et restent marquees verified=false.
#
# HEX : le fabricant ne publie une valeur colorimetrique que pour 34 teintes, reprises
# telles quelles. Pour les autres on garde le hex de l'ancien fichier quand le nom
# correspond, sinon la case reste vide et la couleur est derivee des pigments.
#
# Les nuanciers peints du fabricant n'ont PAS servi a mesurer les teintes : ce sont des
# photographies d'empatements ou le blanc de titane se lit #D7D7D4. Le biais de clarte
# est d'environ 6 points, bien davantage sur les transparentes, et une correction
# d'exposition calee sur les blancs degrade encore le resultat (ecart median a la
# valeur officielle : 8,6 avant, 9,4 apres).
brand;name;code;pigments;opacity;hex;verified
Williamsburg;Italian Pink;6001474;PY42 PR101;SEMI_TRANSPARENT;;true
Williamsburg;Brown Pink;6001484;PR101;SEMI_TRANSPARENT;;true
Williamsburg;Dutch Brown (Transparent);6001494;PBr6;SEMI_TRANSPARENT;;true
Williamsburg;Raw Sienna;6001501;PY43;SEMI_OPAQUE;#A77846;true
Williamsburg;Cyprus Orange;6001512;PY43 PY42 PO73;SEMI_OPAQUE;;true
Williamsburg;Burnt Sienna;6001521;PR102;SEMI_OPAQUE;#7A4029;true
Williamsburg;Yellow Ochre Burnt;6001541;PY43 PR102;OPAQUE;;true
Williamsburg;Brown Ochre;6001561;PY43;OPAQUE;#8E6428;true
Williamsburg;Red Ochre;6001581;PR102;OPAQUE;;true
Williamsburg;Spanish Earth;6001601;PR102;OPAQUE;;true
Williamsburg;Raw Umber;6001621;PBr7;SEMI_OPAQUE;#4A433E;true
Williamsburg;Brown Umber;6001631;PBr7;SEMI_OPAQUE;;true
Williamsburg;Turkey Umber;6001641;PBr7 PG7;SEMI_OPAQUE;;true
Williamsburg;Burnt Umber;6001661;PBr7;SEMI_OPAQUE;#473930;true
Williamsburg;Red Umber;6001671;PBr7;SEMI_OPAQUE;;true
Williamsburg;Van Dyke Brown;6001680;PBk9 PBr6;SEMI_OPAQUE;;true
Williamsburg;Davy's Grey Deep;6001701;PBk19;SEMI_OPAQUE;;true
Williamsburg;Graphite Grey;6001702;PBk10;OPAQUE;#5E5E5E;true
Williamsburg;Payne's Grey;6001703;PB29 PBk9;SEMI_OPAQUE;#2C3149;true
Williamsburg;Ivory Black;6001721;PBk9;SEMI_OPAQUE;#221F1C;true
Williamsburg;Cold Black;6001732;PB29 PBk9;OPAQUE;;true
Williamsburg;Mars Black;6001742;PBk11;OPAQUE;#2D2D2D;true
Williamsburg;Lamp Black;6001761;PBk6;OPAQUE;;true
Williamsburg;German Earth;6001792;PBk11;OPAQUE;;true
Williamsburg;Interference Blue;6001803;EFFEKT;TRANSPARENT;;false
Williamsburg;Interference Violet;6001813;EFFEKT;TRANSPARENT;;false
Williamsburg;Iridescent Pale Gold;6001823;EFFEKT;SEMI_OPAQUE;;false
Williamsburg;Iridescent Silver;6001833;ALU;SEMI_OPAQUE;;false
Williamsburg;Iridescent Pewter;6001843;ALU;SEMI_OPAQUE;;false
Williamsburg;Iridescent Bronze;6001853;EFFEKT;SEMI_OPAQUE;;false
Williamsburg;Iridescent Pearl White;6001863;EFFEKT;SEMI_OPAQUE;;false
Williamsburg;Interference Red;6001873;EFFEKT;TRANSPARENT;;false
Williamsburg;Iridescent Copper;6001883;EFFEKT;SEMI_OPAQUE;;false
Williamsburg;Interference Green;6001893;EFFEKT;TRANSPARENT;;false
Williamsburg;Neutral Gray N2;6001912;PBr7 PBk6 PY43 PW6;;#202425;true
Williamsburg;Neutral Gray N4;6001914;PW6 PY43 PR102 PBk6;;#575A5E;true
Williamsburg;Neutral Gray N6;6001916;PW6 PY43 PR102 PBk6;;#9FA0A4;true
Williamsburg;Neutral Gray N8;6001918;PW6 PY43 PR102 PBk6;;#D6D7D9;true
Williamsburg;Transparent Yellow Iron Oxide;6001920;PY42;TRANSPARENT;#A95B15;true
Williamsburg;Transparent Red Iron Oxide;6001922;PR101;TRANSPARENT;#84301E;true
Williamsburg;Pyrrole Red;6001925;PR254;SEMI_OPAQUE;#C23739;true
Williamsburg;Pyrrole Orange;6001927;PO73;SEMI_OPAQUE;#F3491E;true
Williamsburg;Nickel Azo Yellow;6001928;PY150;TRANSPARENT;#AF791B;true
Williamsburg;Bismuth Vanadate Yellow;6001929;PY184;OPAQUE;#F7ED43;true
Williamsburg;SF Italian Terra Verte;6003013;PG23;TRANSPARENT;;true
Williamsburg;SF French Ardoise Grey;6003050;PBk11 PG17;TRANSPARENT;;true
Williamsburg;SF Titanium White;6003101;PW6;OPAQUE;;true
Williamsburg;SF Porcelain White;6003103;PW5;SEMI_OPAQUE;;true
Williamsburg;SF Flake White;6003104;PW1;SEMI_OPAQUE;;true
Williamsburg;SF Cobalt Violet Light;6003728;PV49;TRANSPARENT;;true
Williamsburg;SF Ultramarine Violet;6003764;PV15;TRANSPARENT;;true
Williamsburg;SF Ultramarine Pink;6003774;PV15;TRANSPARENT;;true
Williamsburg;SF Cerulean Blue French;6003857;PB36;SEMI_OPAQUE;;true
Williamsburg;SF Ultramarine Blue;6003942;PB29;TRANSPARENT;;true
Williamsburg;SF Ultramarine Blue French;6003962;PV15 PB29;TRANSPARENT;;true
