# Winsor & Newton - Artists' Oil Colour
#
# COUVERTURE : 130 teintes sur les 137 que publie le fabricant.
#
# PROVENANCE : noms, numeros de couleur, pigments et opacite releves le 15/09/2026
# dans le tableau "Specifications" des fiches produit du fabricant
# (winsornewton.com/collections/artists-oil), qui imprime pour chaque teinte SKU,
# Colour Number, Opacity, Series et Pigment Code. 113 teintes portent verified=true.
#
# NON PUBLIE : 24 teintes n'affichent aucun code pigment - toute la ligne Cadmium-Free
# (formule protegee) et les metalliques. Les metalliques prennent le pseudo-code
# EFFEKT / ALU ; les autres gardent la composition de l'ancien fichier. Toutes sont
# marquees verified=false.
#
# ABSENTES : Transparent Orange, Rose Dore, Cinnabar Green, Mineral Grey,
# Ultramarine Ash, Warm White et Royal Blue. Ni le fabricant ni l'ancien fichier ne
# donnent leur composition, et le chargeur exige au moins un pigment par ligne. Elles
# etaient deja absentes du catalogue precedent. A saisir a la main si vous les possedez.
#
# HEX : W&N ne publie aucune valeur colorimetrique. La colonne reprend celle de
# l'ancien fichier quand le nom correspond, sinon la couleur est derivee des pigments.
brand;name;code;pigments;opacity;hex;verified
Winsor & Newton;Bronze;58;EFFEKT;SEMI_OPAQUE;;false
Winsor & Newton;Copper;214;EFFEKT;SEMI_OPAQUE;;false
Winsor & Newton;Renaissance Gold;573;EFFEKT;SEMI_OPAQUE;;false
Winsor & Newton;Gold;283;EFFEKT;SEMI_OPAQUE;;false
Winsor & Newton;Pewter;511;ALU;SEMI_OPAQUE;;false
Winsor & Newton;Silver;617;ALU;SEMI_OPAQUE;;false
Winsor & Newton;Iridescent White;330;EFFEKT;SEMI_OPAQUE;;false
Winsor & Newton;Green Gold;294;PY129;TRANSPARENT;#8A8A1E;true
Winsor & Newton;Mars Black;386;PBk11;OPAQUE;#1B1A19;true
Winsor & Newton;Ivory Black;331;PBk9;SEMI_OPAQUE;#221F1C;true
